account_id,disp_id,client_id,account_id_acct,district_id_bank,stmt_frq,date_acct,type_disp,loan_id,date_loan,amount,duration,payments,status,date_birth,district_id_client,card_id,type_card,min1,max1,mean1,mean6,response,has_card,idade,days_between
8092,9687,9995,8092,54,monthly,1995-01-11,owner,6659,1996-02-20,56100,60,935.0,C,1958-07-07,54,,,1000.0,9899.1,20549.230158730166,26157.734482758613,1,0,37,405
1808,2190,2190,1808,28,monthly,1997-05-16,owner,5318,1998-09-30,385584,48,8033.0,C,1974-10-22,28,,,106530.1,98638.1,71744.03055555554,60002.15294117648,1,0,23,502
1808,2191,2191,1808,28,monthly,1997-05-16,disponent,5318,1998-09-30,385584,48,8033.0,C,1979-08-04,28,,,106530.1,98638.1,71744.03055555554,60002.15294117648,1,0,19,502
2725,3291,3291,2725,52,monthly,1997-04-02,owner,5526,1998-11-08,69624,36,1934.0,C,1947-01-23,52,517.0,classic,1100.0,74473.4,48848.771223021584,48824.17916666667,1,1,51,585
4127,4968,4968,4127,50,monthly,1996-05-03,owner,5817,1997-08-15,100800,24,4200.0,D,1938-05-26,50,,,-1033.8,92354.7,28517.63666666666,42296.14230769231,0,0,59,469
5181,6257,6257,5181,75,monthly,1996-02-03,owner,6055,1997-04-28,399120,60,6652.0,C,1942-08-20,75,,,12000.0,85656.2,43888.80178571428,48992.67142857142,1,0,54,450
666,798,798,666,27,monthly,1996-03-15,owner,5103,1997-11-28,12540,12,1045.0,A,1940-02-12,27,140.0,classic,14858.0,57779.4,41539.73636363639,38930.43495145633,1,1,57,623
666,799,799,666,27,monthly,1996-03-15,disponent,5103,1997-11-28,12540,12,1045.0,A,1936-02-19,27,,,14858.0,57779.4,41539.73636363639,38930.43495145633,1,0,61,623
7418,8888,9196,7418,21,monthly,1995-04-07,owner,6501,1996-04-29,30276,12,2523.0,B,1939-04-23,21,,,1000.0,8322.5,31481.05952380953,34767.38666666667,0,0,57,388
1528,1852,1852,1528,50,monthly,1996-06-08,owner,5270,1997-07-21,191088,48,3981.0,C,1962-09-05,50,,,12325.4,57550.1,32398.580555555556,37199.23684210526,1,0,34,408
3249,3929,3929,3249,74,monthly,1996-10-11,owner,5638,1997-08-27,68124,12,5677.0,A,1957-11-01,74,,,10823.6,63669.3,30304.75111111112,38324.025,1,0,39,320
718,861,861,718,1,monthly,1996-03-03,owner,5117,1997-08-20,76944,12,6412.0,A,1956-09-13,1,151.0,classic,10311.6,9256.2,35704.097979797974,37856.57213114755,1,1,40,535
544,655,655,544,32,monthly,1995-05-15,owner,5088,1996-08-22,91152,24,3798.0,A,1942-12-10,32,119.0,classic,17217.2,72327.7,44534.57826086956,40537.67249999999,1,1,53,465
10365,12448,12756,10365,22,monthly,1995-09-02,owner,7122,1997-01-04,260640,36,7240.0,D,1949-01-21,22,,,1000.0,88731.8,34623.97428571429,46911.55,0,0,47,490
9024,10806,11114,9024,1,monthly,1996-01-05,owner,6817,1996-10-04,70656,48,1472.0,C,1952-07-26,1,,,14802.3,600.0,33543.54347826087,29806.29230769231,1,0,44,273
9656,11578,11886,9656,61,monthly,1993-11-14,owner,6965,1995-06-13,139536,24,5814.0,A,1941-09-13,61,,,101450.4,99106.0,64397.36603773589,57286.2383177571,1,0,53,576
2720,3284,3284,2720,2,weekly,1997-06-16,owner,5525,1998-04-27,93888,36,2608.0,C,1936-07-02,2,,,100000.2,96025.1,72314.3373493976,73960.48484848488,1,0,61,315
2720,3285,3285,2720,2,weekly,1997-06-16,disponent,5525,1998-04-27,93888,36,2608.0,C,1943-09-17,2,,,100000.2,96025.1,72314.3373493976,73960.48484848488,1,0,54,315
3953,4768,4768,3953,1,monthly,1997-06-16,owner,5782,1998-01-04,63576,12,5298.0,C,1960-04-03,1,,,32286.0,98852.6,59930.75999999999,500.0,1,0,37,202
4415,5322,5322,4415,73,monthly,1995-07-05,owner,5878,1997-04-01,74040,12,6170.0,A,1956-03-13,73,,,14415.1,73209.0,44199.78426966294,42844.77120000002,1,0,41,636
8931,10696,11004,8931,63,weekly,1996-01-01,owner,6793,1997-01-30,186300,60,3105.0,C,1947-11-16,63,1081.0,classic,102129.7,95859.1,63910.90740740746,45256.80217391308,1,1,49,395
2545,3072,3072,2545,1,monthly,1996-12-04,owner,5491,1998-02-13,428784,48,8933.0,C,1936-04-14,1,,,10507.4,9836.4,23452.247422680422,23778.64905660378,1,0,61,436
2545,3073,3073,2545,1,monthly,1996-12-04,disponent,5491,1998-02-13,428784,48,8933.0,C,1937-10-23,1,,,10507.4,9836.4,23452.247422680422,23778.64905660378,1,0,60,436
2988,3608,3608,2988,66,after_tr,1996-10-14,owner,5585,1998-07-08,88608,12,7384.0,C,1947-12-09,66,,,101997.3,99506.3,52203.08914728682,53371.62941176472,1,0,50,632
2988,3609,3609,2988,66,after_tr,1996-10-14,disponent,5585,1998-07-08,88608,12,7384.0,C,1955-10-26,66,,,101997.3,99506.3,52203.08914728682,53371.62941176472,1,0,42,632
6609,7980,7980,6609,16,monthly,1995-03-27,owner,6342,1995-11-12,60156,36,1671.0,B,1976-08-08,16,,,100922.3,98660.8,69752.16304347826,16639.225,0,0,19,230
8173,9787,10095,8173,11,monthly,1993-07-05,owner,6678,1994-05-20,80340,12,6695.0,A,1976-02-06,1,1038.0,junior,100051.1,92511.1,60518.61914893615,59691.10000000003,1,1,18,319
8173,9788,10096,8173,11,monthly,1993-07-05,disponent,6678,1994-05-20,80340,12,6695.0,A,1978-01-05,1,,,100051.1,92511.1,60518.61914893615,59691.10000000003,1,0,16,319
8547,10235,10543,8547,14,weekly,1995-07-17,owner,6734,1996-05-30,173016,36,4806.0,C,1945-02-23,14,1059.0,classic,101367.9,93897.9,60204.43095238101,54442.74516129033,1,1,51,318
940,1133,1133,940,37,monthly,1994-11-15,owner,5148,1996-05-29,284280,60,4738.0,C,1958-09-15,37,186.0,gold,105636.2,99639.5,63233.46292134835,59574.16885245906,1,1,37,561
940,1134,1134,940,37,monthly,1994-11-15,disponent,5148,1996-05-29,284280,60,4738.0,C,1959-10-01,37,,,105636.2,99639.5,63233.46292134835,59574.16885245906,1,0,36,561
9472,11354,11662,9472,1,weekly,1993-07-06,owner,6929,1995-05-08,36396,12,3033.0,A,1972-04-03,76,,,100453.2,97187.5,58357.004605263166,61179.58482142858,1,0,23,671
2762,3335,3335,2762,19,monthly,1993-03-20,owner,5533,1994-07-05,111384,24,4641.0,A,1967-02-10,11,,,100207.7,99998.8,66804.8124137931,71073.31333333335,1,0,27,472
3711,4474,4474,3711,3,monthly,1997-05-08,owner,5731,1997-11-05,460980,60,7683.0,D,1964-12-09,3,,,103750.1,82773.1,49404.22857142856,400.0,0,0,32,181
3967,4786,4786,3967,54,monthly,1996-09-22,owner,5784,1997-03-29,84600,36,2350.0,D,1938-08-16,54,,,105258.8,900.0,45773.457142857136,900.0,0,0,58,188
9201,11021,11329,9201,69,monthly,1996-10-28,owner,6866,1998-02-05,122472,24,5103.0,C,1961-01-31,69,,,1000.0,98237.8,49372.0702970297,50891.83833333333,1,0,37,465
11021,13240,13548,11021,1,monthly,1993-08-10,owner,7241,1995-03-04,168984,24,7041.0,B,1976-03-18,1,,,-517.7,99034.3,57733.100000000064,58796.03050847461,0,0,18,571
4580,5521,5521,4580,9,monthly,1994-08-27,owner,5922,1995-08-05,20220,12,1685.0,A,1973-05-15,9,791.0,classic,122906.7,96612.3,43046.893333333326,37229.06666666667,1,1,22,343
9560,11460,11768,9560,1,monthly,1997-07-13,owner,6948,1998-03-15,157068,36,4363.0,C,1971-09-12,1,,,20514.6,88837.6,36734.27777777778,18827.1,1,0,26,245
1093,1311,1311,1093,54,monthly,1996-01-14,owner,5174,1997-06-13,385104,48,8023.0,C,1956-12-18,54,,,1000.0,96515.6,47554.11770833333,52075.87903225807,1,0,40,516
854,1029,1029,854,62,monthly,1993-09-21,owner,5138,1995-05-30,87216,48,1817.0,C,1954-03-16,1,,,11105.0,700.0,31064.96500000003,32350.36702127661,1,0,41,616
10440,12536,12844,10440,72,monthly,1993-09-13,owner,7138,1995-07-03,60000,60,1000.0,C,1946-10-15,45,,,16141.2,7766.0,24756.71550387598,25405.449462365603,1,0,48,658
1318,1594,1594,1318,56,monthly,1997-12-22,owner,5226,1998-10-11,185544,36,5154.0,C,1939-09-29,56,,,10500.0,7740.3,30190.550000000007,18898.416666666668,1,0,59,293
3489,4217,4217,3489,9,monthly,1994-12-08,owner,5693,1995-08-01,44088,24,1837.0,A,1951-06-25,9,,,1000.0,55576.8,35468.81851851852,13767.7,1,0,44,236
4969,6001,6001,4969,60,weekly,1996-08-19,owner,6010,1997-03-06,150180,60,2503.0,C,1937-05-01,60,,,12400.0,79210.9,39983.99090909091,200.0,1,0,59,199
10345,12421,12729,10345,36,monthly,1996-04-07,owner,7110,1998-01-21,31260,12,2605.0,C,1968-03-21,36,,,1000.0,8465.3,25708.71721311475,27608.909890109884,1,0,29,654
10345,12422,12730,10345,36,monthly,1996-04-07,disponent,7110,1998-01-21,31260,12,2605.0,C,1964-09-29,36,,,1000.0,8465.3,25708.71721311475,27608.909890109884,1,0,33,654
5572,6729,6729,5572,15,monthly,1997-08-11,owner,6136,1998-04-19,140880,60,2348.0,C,1957-12-27,15,,,122247.8,84355.8,49861.22432432432,61553.48888888888,1,0,40,251
309,376,376,309,14,monthly,1997-04-25,owner,5036,1998-11-25,91248,48,1901.0,C,1973-01-08,14,,,12223.2,900.0,30668.12978723405,30649.47313432836,1,0,25,579
6555,7914,7914,6555,38,weekly,1993-03-05,owner,6336,1994-03-31,212400,36,5900.0,A,1966-10-24,38,,,13101.0,98942.3,49362.8882352941,46932.777777777774,1,0,27,391
4626,5574,5574,4626,9,monthly,1996-06-15,owner,5932,1997-06-18,33348,12,2779.0,A,1970-09-12,9,,,102120.2,99599.8,47177.06440677965,57611.76764705881,1,0,26,368
4476,5399,5399,4476,24,monthly,1994-11-10,owner,5897,1996-09-25,15192,24,633.0,A,1972-12-27,24,,,14268.9,500.0,30119.46792452831,28838.030252100845,1,0,23,685
5213,6299,6299,5213,1,monthly,1995-08-18,owner,6063,1996-04-25,320976,48,6687.0,D,1936-08-09,1,833.0,classic,1000.0,98885.2,48238.04523809522,41227.514285714286,0,1,59,251
11327,13615,13923,11327,7,monthly,1997-10-15,owner,7294,1998-09-27,39168,24,1632.0,C,1979-02-22,7,,,20608.0,81495.6,54615.425531914894,43782.09999999999,1,0,19,347
4144,4993,4993,4144,1,monthly,1996-08-19,owner,5823,1998-06-21,212976,36,5916.0,C,1973-06-27,1,,,100687.7,94408.0,50566.80000000003,55917.43928571432,1,0,25,671
4144,4994,4994,4144,1,monthly,1996-08-19,disponent,5823,1998-06-21,212976,36,5916.0,C,1978-06-21,1,,,100687.7,94408.0,50566.80000000003,55917.43928571432,1,0,20,671
4631,5579,5579,4631,77,after_tr,1996-12-12,owner,5933,1997-12-13,87528,24,3647.0,C,1951-02-16,77,796.0,classic,22682.0,800.0,40737.01800000001,42754.84285714287,1,1,46,366
4631,5580,5580,4631,77,after_tr,1996-12-12,disponent,5933,1997-12-13,87528,24,3647.0,C,1952-03-01,77,,,22682.0,800.0,40737.01800000001,42754.84285714287,1,0,45,366
5735,6936,6936,5735,52,monthly,1995-01-25,owner,6175,1996-02-21,290700,60,4845.0,D,1959-02-27,52,,,-1721.7,98659.9,63439.917021276575,70807.07758620687,0,0,37,392
7565,9062,9370,7565,59,monthly,1996-04-02,owner,6541,1997-08-17,153504,48,3198.0,C,1975-12-20,59,,,17009.8,65101.8,34193.94117647058,37135.26153846155,1,0,21,502
8742,10469,10777,8742,70,monthly,1997-01-28,owner,6758,1997-07-29,33144,12,2762.0,A,1980-01-27,70,,,16564.0,900.0,34791.30869565218,900.0,1,0,17,182
8742,10470,10778,8742,70,monthly,1997-01-28,disponent,6758,1997-07-29,33144,12,2762.0,A,1976-03-19,70,,,16564.0,900.0,34791.30869565218,900.0,1,0,21,182
2699,3257,3257,2699,73,monthly,1996-12-25,owner,5520,1998-08-30,231168,48,4816.0,C,1978-05-11,73,511.0,junior,100034.7,98708.9,54091.92205882353,55729.344329896914,1,1,20,613
5072,6122,6122,5072,6,monthly,1996-04-12,owner,6028,1997-02-09,317520,60,5292.0,C,1968-02-16,6,,,1100.0,82886.2,57970.97241379311,51157.00833333333,1,0,29,303
8899,10655,10963,8899,1,weekly,1994-09-05,owner,6785,1995-12-25,125340,60,2089.0,C,1944-06-15,1,,,104817.1,94109.4,52166.39750000001,45341.48630136984,1,0,51,476
11069,13300,13608,11069,37,monthly,1995-06-02,owner,7250,1997-03-04,119136,48,2482.0,C,1963-05-15,37,,,1100.0,97010.1,42755.14999999998,44234.58095238093,1,0,33,641
7437,8909,9217,7437,19,weekly,1997-08-08,owner,6508,1998-04-19,110736,48,2307.0,C,1940-01-30,19,,,13026.6,55991.1,30706.431914893627,26988.1625,1,0,58,254
9455,11329,11637,9455,73,monthly,1996-11-03,owner,6926,1998-02-07,374760,60,6246.0,C,1951-06-12,73,,,1000.0,99878.1,56883.649504950525,60347.23090909091,1,0,46,461
9455,11330,11638,9455,73,monthly,1996-11-03,disponent,6926,1998-02-07,374760,60,6246.0,C,1954-08-24,73,,,1000.0,99878.1,56883.649504950525,60347.23090909091,1,0,43,461
6440,7772,7772,6440,1,monthly,1996-11-01,owner,6310,1997-06-17,34572,12,2881.0,A,1976-12-30,1,,,100858.5,98058.5,60991.2393939394,11498.0,1,0,20,228
789,944,944,789,39,monthly,1995-02-06,owner,5125,1995-11-23,73056,48,1522.0,C,1970-12-18,39,,,14107.7,6207.7,23679.1931818182,18668.44545454545,1,0,24,290
789,945,945,789,39,monthly,1995-02-06,disponent,5125,1995-11-23,73056,48,1522.0,C,1977-01-10,39,,,14107.7,6207.7,23679.1931818182,18668.44545454545,1,0,18,290
10954,13160,13468,10954,25,monthly,1996-07-29,owner,7230,1997-04-02,18720,60,312.0,C,1960-10-31,25,1220.0,classic,13058.0,58660.4,39761.100000000006,22209.21428571429,1,1,36,247
10954,13161,13469,10954,25,monthly,1996-07-29,disponent,7230,1997-04-02,18720,60,312.0,C,1955-12-08,25,,,13058.0,58660.4,39761.100000000006,22209.21428571429,1,0,41,247
2572,3103,3103,2572,64,after_tr,1994-11-13,owner,5494,1996-06-13,360000,48,7500.0,C,1973-03-07,64,,,104155.4,99806.1,49517.70234375001,58215.57974683545,1,0,23,578
5362,6473,6473,5362,76,weekly,1996-09-06,owner,6097,1997-08-21,202848,48,4226.0,C,1940-09-30,76,,,12703.9,8379.9,38232.75074626863,45538.05172413793,1,0,56,349
5362,6474,6474,5362,76,weekly,1996-09-06,disponent,6097,1997-08-21,202848,48,4226.0,C,1934-11-30,76,,,12703.9,8379.9,38232.75074626863,45538.05172413793,1,0,62,349
9104,10900,11208,9104,10,monthly,1994-01-21,owner,6841,1994-08-07,172080,48,3585.0,A,1957-03-05,10,,,119138.8,88639.9,60248.28108108109,21633.95,1,0,37,198
1252,1511,1511,1252,13,weekly,1995-07-26,owner,5210,1997-04-01,148140,36,4115.0,C,1962-03-06,13,,,1000.0,78468.6,40845.24732142855,40346.540789473656,1,0,35,615
4995,6034,6034,4995,20,weekly,1994-08-01,owner,6013,1996-02-03,128988,36,3583.0,D,1939-08-15,20,,,-36.1,78192.9,37023.98888888888,35879.531111111115,0,0,56,551
11079,13312,13620,11079,16,monthly,1995-11-10,owner,7253,1997-04-26,98304,12,8192.0,A,1970-07-26,16,1230.0,classic,105359.4,99938.8,65805.43364485976,62059.584615384585,1,1,26,533
5632,6803,6803,5632,5,weekly,1994-11-15,owner,6153,1995-07-25,285600,60,4760.0,C,1980-12-07,5,,,1100.0,96177.1,51495.8930232558,58692.25454545455,1,0,14,252
5632,6804,6804,5632,5,weekly,1994-11-15,disponent,6153,1995-07-25,285600,60,4760.0,C,1981-06-07,5,,,1100.0,96177.1,51495.8930232558,58692.25454545455,1,0,14,252
1407,1705,1705,1407,19,after_tr,1997-04-11,owner,5245,1998-01-17,125472,24,5228.0,C,1946-07-01,19,,,101148.8,96329.7,70615.88253968259,56223.41304347825,1,0,51,281
1407,1706,1706,1407,19,after_tr,1997-04-11,disponent,5245,1998-01-17,125472,24,5228.0,C,1944-07-19,19,,,101148.8,96329.7,70615.88253968259,56223.41304347825,1,0,53,281
4681,5642,5642,4681,70,monthly,1995-08-08,owner,5942,1997-03-15,162624,48,3388.0,C,1957-11-04,70,,,16399.9,73289.5,37267.45859375,39450.06352941176,1,0,39,585
5700,6895,6895,5700,42,monthly,1993-07-20,owner,6169,1995-03-16,103680,60,1728.0,D,1971-06-24,42,,,10115.0,7760.3,28167.24368932037,28840.78428571429,0,0,23,604
8330,9979,10287,8330,48,monthly,1993-03-28,owner,6699,1994-03-30,7656,24,319.0,A,1962-09-03,48,,,21718.0,73069.1,46268.83749999996,42699.484375000015,1,0,31,367
8330,9980,10288,8330,48,monthly,1993-03-28,disponent,6699,1994-03-30,7656,24,319.0,A,1959-06-07,48,,,21718.0,73069.1,46268.83749999996,42699.484375000015,1,0,34,367
9504,11393,11701,9504,9,monthly,1996-01-29,owner,6938,1997-03-10,341280,60,5688.0,C,1949-04-14,9,1118.0,classic,110020.6,91164.9,50139.59027777779,51061.994285714296,1,1,47,406
4863,5873,5873,4863,5,monthly,1996-03-12,owner,5992,1997-03-18,76080,12,6340.0,A,1979-04-06,5,813.0,junior,103199.2,89702.2,49691.13733333333,52680.2888888889,1,1,17,371
7099,8568,8568,7099,1,monthly,1996-08-20,owner,6450,1998-06-10,234336,48,4882.0,C,1971-12-03,1,,,1000.0,90490.8,42911.85555555555,47412.87844827586,1,0,26,659
9156,10963,11271,9156,18,monthly,1997-09-14,owner,6856,1998-12-01,163332,36,4537.0,C,1937-12-08,18,,,10784.0,9129.9,30335.477049180325,34405.9625,1,0,61,443
2247,2721,2721,2247,24,monthly,1996-04-13,owner,5420,1997-02-24,72504,24,3021.0,C,1950-06-26,24,,,102599.3,95258.9,47731.909890109855,61550.06046511625,1,0,46,317
2496,3013,3013,2496,51,monthly,1994-05-21,owner,5482,1996-01-12,165120,60,2752.0,C,1950-03-18,51,,,10824.7,9744.7,24561.09999999998,23646.699999999997,1,0,45,601
2496,3014,3014,2496,51,monthly,1994-05-21,disponent,5482,1996-01-12,165120,60,2752.0,C,1953-11-05,51,,,10824.7,9744.7,24561.09999999998,23646.699999999997,1,0,42,601
2580,3113,3113,2580,60,monthly,1995-11-09,owner,5495,1996-08-02,89340,60,1489.0,C,1971-11-12,60,,,12042.0,54020.1,38579.72432432433,25469.477777777774,1,0,24,267
2580,3114,3114,2580,60,monthly,1995-11-09,disponent,5495,1996-08-02,89340,60,1489.0,C,1971-02-24,60,,,12042.0,54020.1,38579.72432432433,25469.477777777774,1,0,25,267
5133,6196,6196,5133,68,weekly,1996-12-08,owner,6044,1998-01-27,57060,12,4755.0,C,1943-03-09,68,824.0,classic,11939.8,900.0,40589.34583333336,34762.265384615384,1,1,54,415
808,968,968,808,69,monthly,1995-06-13,owner,5128,1996-04-11,215616,48,4492.0,D,1957-02-17,69,,,12754.5,8275.4,24677.5679245283,27521.026666666665,0,0,39,303
813,976,976,813,16,monthly,1993-02-10,owner,5130,1994-05-11,24312,12,2026.0,A,1955-11-19,16,,,1100.0,48277.9,29036.041095890403,28884.48604651162,1,0,38,455
10728,12882,13190,10728,71,monthly,1994-12-23,owner,7189,1996-03-21,154656,48,3222.0,C,1956-11-28,71,,,1000.0,61782.0,31845.1277108434,33887.03181818184,1,0,39,454
7607,9110,9418,7607,1,monthly,1993-09-05,owner,6546,1995-03-27,31728,24,1322.0,A,1950-04-10,1,,,14413.3,600.0,31317.58636363637,33746.116901408495,1,0,44,568
7607,9111,9419,7607,1,monthly,1993-09-05,disponent,6546,1995-03-27,31728,24,1322.0,A,1950-11-09,1,,,14413.3,600.0,31317.58636363637,33746.116901408495,1,0,44,568
9814,11771,12079,9814,64,weekly,1995-01-19,owner,6995,1996-09-26,96168,12,8014.0,A,1972-08-12,64,1137.0,gold,115809.8,95425.9,51980.96056338024,54028.09038461532,1,1,24,616
1888,2291,2291,1888,6,monthly,1996-10-21,owner,5338,1997-08-30,57360,12,4780.0,B,1957-09-19,6,,,-5851.2,8848.8,39316.20312500002,43417.76470588235,0,0,39,313
3084,3730,3730,3084,59,weekly,1996-01-28,owner,5606,1996-08-28,253512,36,7042.0,D,1945-08-07,59,,,111044.2,80844.2,41506.56249999998,24802.85,0,0,51,213
3137,3793,3793,3137,39,monthly,1996-12-15,owner,5614,1998-09-21,253560,60,4226.0,C,1951-06-20,39,,,18952.0,900.0,39503.3725490196,38658.84342105263,1,0,47,645
4949,5978,5978,4949,33,monthly,1996-10-14,owner,6007,1997-08-30,289920,48,6040.0,C,1944-01-27,33,819.0,gold,101415.7,95714.6,59085.5975,56686.51428571427,1,1,53,320
6453,7787,7787,6453,34,monthly,1996-07-27,owner,6312,1998-05-17,10944,36,304.0,C,1951-07-10,34,,,12535.9,4425.0,22605.329936305738,23078.548181818187,1,0,46,659
2167,2623,2623,2167,16,monthly,1993-08-08,owner,5390,1994-10-30,170256,24,7094.0,A,1965-07-16,16,418.0,classic,19754.7,79869.8,39929.657746478864,38712.9475,1,1,29,448
3354,4056,4056,3354,63,monthly,1993-11-05,owner,5657,1994-07-05,4980,12,415.0,A,1952-07-26,63,,,11152.0,800.0,31182.524324324346,19057.914285714283,1,0,41,242
6118,7390,7390,6118,1,weekly,1994-03-07,owner,6244,1995-01-08,270648,36,7518.0,B,1937-11-04,1,,,101295.4,97623.8,57626.69523809524,67208.46153846155,0,0,57,307
9591,11496,11804,9591,74,monthly,1993-05-20,owner,6950,1995-04-11,104712,24,4363.0,A,1944-12-12,74,,,100514.4,99227.7,58228.11397849473,60456.68707483004,1,0,50,691
2000,2430,2430,2000,5,monthly,1997-08-06,owner,5354,1998-07-14,290820,60,4847.0,C,1937-10-28,5,378.0,classic,20127.0,900.0,44633.16933333334,44205.05357142859,1,1,60,342
2035,2470,2470,2035,53,monthly,1996-05-10,owner,5360,1998-01-25,176328,36,4898.0,C,1943-06-14,53,,,14052.6,87431.8,46853.69371069182,41130.13451327433,1,0,54,625
2035,2471,2471,2035,53,monthly,1996-05-10,disponent,5360,1998-01-25,176328,36,4898.0,C,1942-01-05,53,,,14052.6,87431.8,46853.69371069182,41130.13451327433,1,0,56,625
4852,5860,5860,4852,47,monthly,1995-04-13,owner,5989,1996-03-04,213300,36,5925.0,C,1964-04-22,47,,,16991.0,7591.0,28223.322641509418,25585.869230769236,1,0,31,326
1004,1208,1208,1004,70,monthly,1996-07-02,owner,5158,1998-04-11,188532,36,5237.0,C,1975-09-01,70,,,100012.6,97632.4,65158.93916083914,64077.88602150536,1,0,22,648
10215,12253,12561,10215,38,monthly,1996-04-12,owner,7087,1997-02-20,44304,24,1846.0,C,1966-06-20,38,,,14611.0,58281.2,42646.507407407415,30252.08333333333,1,0,30,314
10807,12977,13285,10807,34,monthly,1996-03-13,owner,7201,1997-03-07,67464,12,5622.0,A,1935-12-25,34,,,23859.8,92407.6,49267.11399999999,55198.12499999999,1,0,61,359
1906,2316,2316,1906,1,monthly,1996-08-01,owner,5343,1997-10-08,44952,24,1873.0,C,1970-03-25,1,,,1000.0,93355.0,51071.7578313253,39270.92439024391,1,0,27,433
2350,2841,2841,2350,18,monthly,1996-08-04,owner,5451,1997-05-11,159744,48,3328.0,C,1973-04-10,18,446.0,classic,105645.3,87175.3,53646.760869565216,17702.6,1,1,24,280
3747,4520,4520,3747,1,monthly,1994-05-01,owner,5739,1995-01-02,76380,12,6365.0,A,1957-06-28,1,,,1100.0,9710.1,25775.82777777778,20046.1125,1,0,37,246
276,333,333,276,38,monthly,1997-12-08,owner,5027,1998-12-02,160920,36,4470.0,C,1971-10-19,38,53.0,classic,26827.9,74906.0,52720.36792452831,54845.00434782609,1,1,27,359
8492,10171,10479,8492,2,monthly,1994-06-29,owner,6726,1995-09-03,85860,60,1431.0,C,1955-10-20,2,1055.0,classic,1000.0,44713.5,29759.685393258427,27642.441509433964,1,1,39,431
9241,11071,11379,9241,74,monthly,1996-09-25,owner,6877,1997-06-19,285240,60,4754.0,C,1952-05-28,74,,,1100.0,89240.1,50975.56888888889,37533.92,1,0,45,267
9241,11072,11380,9241,74,monthly,1996-09-25,disponent,6877,1997-06-19,285240,60,4754.0,C,1951-04-06,74,,,1100.0,89240.1,50975.56888888889,37533.92,1,0,46,267
4414,5320,5320,4414,24,monthly,1993-09-10,owner,5877,1995-02-23,97224,24,4051.0,A,1951-04-07,17,,,1000.0,43393.0,22469.435576923075,23171.76769230768,1,0,43,531
4414,5321,5321,4414,24,monthly,1993-09-10,disponent,5877,1995-02-23,97224,24,4051.0,A,1950-02-01,17,,,1000.0,43393.0,22469.435576923075,23171.76769230768,1,0,45,531
4825,5826,5826,4825,15,monthly,1994-06-04,owner,5980,1995-08-18,21396,12,1783.0,A,1968-09-09,15,,,1000.0,46848.9,30702.044444444437,28671.36341463413,1,0,26,440
4825,5827,5827,4825,15,monthly,1994-06-04,disponent,5980,1995-08-18,21396,12,1783.0,A,1975-01-28,15,,,1000.0,46848.9,30702.044444444437,28671.36341463413,1,0,20,440
7401,8865,9173,7401,1,monthly,1993-02-26,owner,6499,1994-01-05,80952,24,3373.0,A,1945-02-04,1,,,1100.0,67529.6,32896.79782608693,36797.35714285714,1,0,48,313
7401,8866,9174,7401,1,monthly,1993-02-26,disponent,6499,1994-01-05,80952,24,3373.0,A,1940-10-09,1,,,1100.0,67529.6,32896.79782608693,36797.35714285714,1,0,53,313
